c,σ
5.767212456155636e-8,4.1458779309126044e-8
4.053197920300329e-8,4.080300842171031e-8
3.3240757596858145e-8,1.6537152219000534e-8
3.327235744371509e-8,2.015738405949658e-8
3.2333879951333654e-8,2.2264329559868538e-8
3.112140896841995e-8,2.2128843423802564e-8
3.348255690451064e-8,2.1773102711327498e-8
3.348255690451064e-8,2.1773102711327498e-8
3.302236544454938e-8,1.8989515341899917e-8
3.302236544454938e-8,1.8989515341899917e-8
3.302236544454938e-8,1.8989515341899917e-8
4.379987774378081e-8,2.3734383914511958e-8
4.379987774378081e-8,2.3734383914511958e-8
4.066084511603231e-8,2.9099982887437723e-8
4.43399357557026e-8,4.844367355228504e-8
3.983249390354054e-8,2.0758923023295186e-8
3.99483741719225e-8,1.9371172435321126e-8
3.0563207120862466e-8,2.2567508485077534e-8
4.5947608162358504e-8,2.4965736830154587e-8
6.685711958437515e-8,4.50887465868883e-8
6.685711958437515e-8,4.50887465868883e-8
8.155332529765618e-8,4.8856237956929097e-8
6.285012511195219e-8,8.79945294998057e-8
2.5895552845734732e-8,1.1370115717517911e-8
4.483616123015062e-8,1.8373577944952557e-8
4.483616123015062e-8,1.8373577944952557e-8
4.483616123015062e-8,1.8373577944952557e-8
4.506408716963821e-8,2.493076993064555e-8
4.9001698253237024e-8,2.6474361838391886e-8
2.2226661308217114e-8,1.712772329477679e-8
2.9626388685528803e-8,2.0372386233931074e-8
2.9034687956692553e-8,2.648214732955271e-8
3.444970301692434e-8,2.2299704807487374e-8
3.444970301692434e-8,2.2299704807487374e-8
4.54510882368959e-8,1.5970722603909132e-8
4.0057939841799783e-8,1.9517021405790832e-8
3.42854660563961e-8,1.9813042792933602e-8
3.42854660563961e-8,1.9813042792933602e-8
3.782466076683637e-8,2.1152402695741867e-8
4.270648087781796e-8,1.8205595856425045e-8
3.9720977552449425e-8,1.7243008029377197e-8
3.9720977552449425e-8,1.7243008029377197e-8
3.7121373470871844e-8,1.41841596924345e-8
3.7121373470871844e-8,1.41841596924345e-8
4.103452187764702e-8,2.463176403892346e-8
3.778880331951243e-8,1.591415303238681e-8
3.778880331951243e-8,1.591415303238681e-8
3.778880331951243e-8,1.591415303238681e-8
